"Location	Low End Snowfall	Expected Snowfall	High End Snowfall	P>=0.1""	P>=1""	P>=2""	P>=4""	P>=6""	P>=8""	P>=12""	P>=18"""
Bethel Park	8	12	15	100%	100%	100%	98%	94%	83%	40%	1%
Franklin Park	8	13	16	100%	100%	100%	99%	96%	88%	51%	3%
Jefferson Hills	7	11	14	100%	100%	100%	98%	93%	80%	31%	1%
Monroeville	7	10	14	100%	100%	100%	99%	94%	81%	32%	1%
Moon/Pittsburgh Intl Airport	9	13	16	100%	100%	100%	99%	97%	91%	56%	4%
